Used,dir,File,Good,Brace,Labelled,TREE,
,Residrill_data,DRO_Residrill001,F,No,Trial,,
,Residrill_data,DRO_Residrill002,,No,Trial,,
,Residrill_data,DRO_Residrill003,,No,Trial,,
,Residrill_data,DRO_Residrill004,,No,TRM_BRK_TRAN1 TREE1,,
,Residrill_data,DRO_Residrill005,,No,TRM_BRK_TRAN1 TREE1,,
,Residrill_data,DRO_Residrill006,,No,TRM_BRK_TRAN1 TREE1,,
,Residrill_data,DRO_Residrill007,,No,TRM_BRK_TRAN1 TREE1,,
,Residrill_data,DRO_Residrill008,F,No,TRM_BRK_TRAN1 TREE1,,
,Residrill_data,DRO_Residrill009,,No,TRM_BRK TRAN1 TREE2,,
,Residrill_data,DRO_Residrill010,F,No,TRM_BRK_TRAN1_TREE2,,
,Residrill_data,DRO_Residrill011,F,No,TRM_BRK_TRAN1_TREE2,,
,Residrill_data,DRO_Residrill012,F,No,CORE_ALPH_1,,
,Residrill_data,DRO_Residrill013,F,No,CORE_ALPH_1_2nd,,
,Residrill_data,DRO_Residrill014,,No,CORE_ALPH_2_1st,,
t,Residrill_data,DRO_Residrill015,,No,CORE_ALPH_2_1st,Alph_2,
t,Residrill_data,DRO_Residrill016,,No,CORE_CAST_1_st,Cast_1,
,Residrill_data,DRO_Residrill017,f,No,CORE_SYZ_1,,
t,Residrill_data,DRO_Residrill018,,No,CORE_SYZ_1_2nd,Syz_1,
,Residrill_data,DRO_Residrill019,30.15,No,CORE_MUSC_1,,
,Residrill_data,DRO_Residrill020,34.1,No,CORE_MUSC_1_2nd,,
t,Residrill_data,DRO_Residrill021,35.81,No,CORE_MUSC_1_2nd,Musc_1,
t,Residrill_data,DRO_Residrill022,,No,COR_ALPH_1,Alph_1,speed trial
,Residrill_data,DRO_Residrill023,,No,CORE_ALPH_1,,speed trial
,Residrill_data,DRO_Residrill024,,No,CORE_ALPH_1,,speed trial
,Residrill_data,DRO_Residrill025,,No,CORE_MUSC_2,,
t,Residrill_data,DRO_Residrill026,,No,CORE_MUSC_2_2nd,Musc_2,
t,Residrill_data,DRO_Residrill027,,No,CORE_MUSC_2_2nd,Syz_2,mislabelled ACTUAL syzygium
t,Residrill_data,DRO_Residrill028,,No,CORE_MUSC_2_2nd,Musc_3,mislabelled ACTUAL MUSC 3
t,Residrill_data,DRO_Residrill029,,No,CORE_ELEA_1,,
,Residrill_data,DRO_Residrill030,,No,CORE_ELEA_1_2nd,Elae_1,
,Residrill_data,DRO_Residrill031,F,No,CORE_ELAE_2,,
t,Residrill_data,DRO_Residrill032,,No,CORE_ELAE_2 2ND,Elae_2,
t,Residrill_data,DRO_Residrill033,,No,CORE_END_1,End_1,
,Residrill_data,DRO_Residrill034,,No,CORE_ELAE_2,,
t,Residrill_data,DRO_Residrill035,,No,CORE_ELAE_2,Elae_3,MISLABBELED ELAEOCARPUS 3?
,Residrill_data,DRO_Residrill036,,No,CORE_APH_3_1ST,,
,Residrill_data,DRO_Residrill037,F,No,CORE_APH_3_2nd,,
,Residrill_data,DRO_Residrill038,,No,CORE_APH_3_2nd,,
,Residrill_data,DRO_Residrill039,,No,CORE_APH_3_3rd,,
,Residrill_data,DRO_Residrill040,,No,CORE_APH_3_4th,,
t,Residrill_data,DRO_Residrill041,,No,CORE_APH_3_5TH,Alph_3,
,Residrill_data,DRO_Residrill042,F,No,CORE_CAST_2,,
t,Residrill_data,DRO_Residrill043,,No,CORE_CAST_2,Cast_2,
,Residrill_data,DRO_Residrill044,,No,CORE_SYZ_3 3RD,,
t,Residrill_data,DRO_Residrill045,F,No,CORE_SYZ_3 3RD,,
,Residrill_data,DRO_Residrill046,,No,CORE_SYZ_3 3RD,,
t,Residrill_data,DRO_Residrill047,,No,CORE_SYZ_3 3RD,,MISLABELLED?
,Residrill_data,DRO_Residrill048,F,No,CORE_SYZ_3,,MISLABELLED 2??
,Residrill_data,DRO_Residrill049,F,No,CORE_SYZ_3,,MISLABELLED 2??
t,Residrill_data,DRO_Residrill050,,No,CORE_SYZ_3,Syz_3,MISLABELLED 2??
,Residrill_data,DRO_Residrill051,,No,CORE_END_2,,
,Residrill_data,DRO_Residrill052,,No,CORE_END_2,,
,Residrill_data,DRO_Residrill053,,No,CORE_END_2,,
t,Residrill_data,DRO_Residrill054,,TRUE,CORE_END_2,End_2,NOT ENDIANDRA
,Residrill_data,DRO_Residrill055,,No,CORE_END_3,,
,Residrill_data,DRO_Residrill056,F,No,CORE_END_3,,
t,Residrill_data,DRO_Residrill057,,No,CORE_END_3_3RD,End_3,
