Core,Species,Sp_code,Tree,Repeat,Date_collected,Section,Fresh_Mass,Length_p,Length_d,Notes,Stored,Dry_Mass
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,1,0.1843,0,10,,Stored,0.099
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,2,0.1613,10,20,,Stored,0.1174
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,3,0.154,20,30,,Stored,0.113
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,4,0.1311,30,40,,Stored,0.0959
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,5,0.1348,40,50,,Stored,0.101
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,6,0.1345,50,60,,Stored,0.0986
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,7,0.1276,60,70,,Stored,0.0938
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,8,0.1301,70,80,,Stored,0.0937
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,9,0.1321,80,90,,Stored,0.0874
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,10,0.1246,90,100,,Stored,0.0779
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,11,0.136,100,110,,Stored,0.0847
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,12,0.125,110,120,,Stored,0.0737
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,13,0.119,120,130,,Stored,0.0714
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,14,0.1286,130,140,,Stored,0.0798
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,15,0.1135,140,150,,Stored,0.0702
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,16,0.1203,150,160,,Stored,0.073
Core_Alph_1b,Alphitonia petriei,ALPH,1,b,19-Jun-15,17,0.0582,160,165,,Stored,0.0376
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,1,0.2218,0,10,,Stored,0.1102
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,2,0.1506,10,20,,Stored,0.1063
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,3,0.1581,20,30,,Stored,0.1095
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,4,0.1383,30,40,,Stored,0.0945
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,5,0.1399,40,50,,Stored,0.0995
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,6,0.1396,50,60,,Stored,0.0975
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,7,0.1269,60,70,,Stored,0.0904
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,8,0.1389,70,80,,Stored,0.0974
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,9,0.1283,80,90,,Stored,0.0821
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,10,0.1284,90,100,,Stored,0.0774
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,11,0.1213,100,110,,Stored,0.0745
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,12,0.1211,110,120,,Stored,0.0735
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,13,0.1071,120,130,,Stored,0.0636
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,14,0.1118,130,140,,Stored,0.0667
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,15,0.1104,140,150,,Stored,0.0669
Core_Alph_1a,Alphitonia petriei,ALPH,1,a,19-Jun-15,16,0.1025,150,160,,Stored,0.061
